date,signature,mint,traderPublicKey,txType,initialBuy,bondingCurveKey,vTokensInBondingCurve,vSolInBondingCurve,marketCapSol,link
2024-06-20T13:27:59.398Z,2NkfD6tiySJknUhmXTnNYCr1cyirA5zC8h6xJAp5Nqiq6uWbtQDnNkjdbcgLUPjTorbf2z5CkpqZqfk5qFFhjryZ,9YS4MBii5sefKXi6kbtD7t7RyHnEZbcmpd8Fd2Y2pump,9FrU6dBeX8u1a7mrYHbAA46XBaStnvq69mPpJ7p5gMQE,create,2853723.404255,6LEX3SNpmf29xySHq2FhpEEd7tPm4LbGU1Khh7WnmcN3,1070146276.595745,30.07999999999999,28.108306927617257,https://photon-sol.tinyastro.io/en/lp/9YS4MBii5sefKXi6kbtD7t7RyHnEZbcmpd8Fd2Y2pump
2024-06-20T13:28:13.011Z,582bQifQL978tFnmkumByoyHiadZ3PY8EncZrEs6kERXCJUxjRRBytMeMcFD6H9XRu6RNJUz9yK5yKLV8xeLi48E,BZ362KaMqec8PKmGScjy7BBBL5snqng2JJD52KCepump,GzwJJPf4KFEJLm7wDGzkCqKNFaBwM1PZVgAgkWKxwzYS,create,34612903.225806,DikSe8kKe5yoLt5HrQP31Xb6LoihZ3U46eXouXMjrZZe,1038387096.774194,30.999999999999986,29.853991922957412,https://photon-sol.tinyastro.io/en/lp/BZ362KaMqec8PKmGScjy7BBBL5snqng2JJD52KCepump
2024-06-20T13:28:23.099Z,4ZFjUvvuRmKnyyp4RABbcy6XN8Mtj223KULJv6MzxR5gkGVgv5rHVSnkKUmdoEsfgHzkjuPuykfGfztVyjk5eXeC,9M8YcZ62TJAk4vNEvmGXyxtxu158hQV4x6rMr8oNpump,4xgQjop3sHiM5tEhx6uLq9X85aEzZe9FGppsc5h9WcVa,create,3564784.053156,5VcXUc3kxZs6MkwRoYWAUzuxYoX4qZJmhpBWSXue1iZu,1069435215.946844,30.099999999999998,28.145697421559486,https://photon-sol.tinyastro.io/en/lp/9M8YcZ62TJAk4vNEvmGXyxtxu158hQV4x6rMr8oNpump
2024-06-20T13:28:38.734Z,37Kbqk2vfCqs6bFj66pjUHyEsskCC245CxeEYN5s4vVsPuSDNgkcSJYcMDdQqSSoSQPaVEzhDXW461eJejQkYJ4G,7tZd4umhqK8429AfTzhtdXUjBqGRCSA84np9BF9sM29,ECN7xCJn8nJW7FnikTTqPQSLmBvZob2tCtMMuLJZeHBd,create,34612903.225806,FTD8P1v9CRPAbgYBgkHRaX5HcFvrAEVw1Gv16jt2CHHZ,1038387096.774194,30.999999999999986,29.853991922957412,https://photon-sol.tinyastro.io/en/lp/7tZd4umhqK8429AfTzhtdXUjBqGRCSA84np9BF9sM29
2024-06-20T13:28:40.927Z,3YXwcQzDEwF6qRQ8vYBVvCN3uZK3NWjUU4pf5DKyLfVaxwaQ51eXjJmK4jghuqpGiGJFZ9qrGM89rFk9RGeBrF9Q,69PJyaPEnE5Li7kvotQS6ujypLBckdF2oraBgub9pump,635opPea2fAhunPKUEzP6hkhmaXxR8yr6bhUHpkX5VVS,create,34612903.225806,ARB3SXQGiZ4WgY4KHa83m8sjx2d3EU3vvm6Ew18ri9NB,1038387096.774194,30.999999999999986,29.853991922957412,https://photon-sol.tinyastro.io/en/lp/69PJyaPEnE5Li7kvotQS6ujypLBckdF2oraBgub9pump
2024-06-20T13:28:44.677Z,htk9bXpWAyTou5mdVRUhNkDvhKFjjraUBQ8gsV2dcaU4fLpWz6ScoQeFZpgmnAp1WwEG23BKhqVFnCCnmLy6Xmx,A2LTDJdWxmjpDt72pUYp7M97fpBk2pdXaHo6t2PDpump,J5bCVtyq5i4tXfXUFP8A1hqtbGoJvAqYE6Wgxt4HwDxT,create,17590163.934426,HNQanogdvQykPs4jpZSuFDWqNcV6pZR64kEWiAVhkQ35,1055409836.065574,30.499999999999993,28.8987263125194,https://photon-sol.tinyastro.io/en/lp/A2LTDJdWxmjpDt72pUYp7M97fpBk2pdXaHo6t2PDpump
2024-06-20T13:28:53.509Z,3ppn8ewP7uHucwzmbNPHt9utyHzJ9mpHQG9KdWUCzEbqKZS4xGH77ZTuuDB81B7XQYKqVKFwzpSq21rYgHsCkACZ,2cHVU2ZJsajTYVS2me5XSo3ZxVaCRHparAjhAsJGpump,KQvGYrMSzs5hNPUFHNcsqNhBTNjAkMyvzKXkuy2F3J1,create,51095238.095238,5dG5aYujCQfV91kt8aiMkCn9322noL5ZABoqGDyvRhRz,1021904761.904762,31.499999999999996,30.82479030754892,https://photon-sol.tinyastro.io/en/lp/2cHVU2ZJsajTYVS2me5XSo3ZxVaCRHparAjhAsJGpump
2024-06-20T13:28:54.676Z,q179zPwP2PHJVQp5uufaQv6r6PihvF5yEWgmNhpmj2BwWQAtKNxUuw4TAy1DC4mUEkq9uSqQx9vxjr317EJhJb2,HPQkwZMExMDCLMut2k51MCQXhRuwQPjVfnu2iiLpump,51H43tajAjiJqUsqUsziKpnrAdkEkhd3ZTVwoHFbPFv5,create,112104477.61194,BTCaS9a3c1rHfRtY86xeyWhpiurXPPYB6PExT2EtfVDW,960895522.38806,33.49999999999999,34.8633115874495,https://photon-sol.tinyastro.io/en/lp/HPQkwZMExMDCLMut2k51MCQXhRuwQPjVfnu2iiLpump
2024-06-20T13:29:03.852Z,4AVCwKLmrPn6mvTBxXyhpGQ7dNsiiFwWcTKLbjYQD9rZuTZENtn5eQYwr6ptjY4jhrYBUvDkp1tzmBXaofeQxbWC,iJhe28Qwm1eLUJh1CXM65YCNnp1ZZkuNtgYh5pYpump,5KpounDVmjVLztmU7ZHBrD3QpWitipKYWjoLbeVEHXP7,create,34612903.225806,EcqW9dttCST48jD9PgegmbHyNLJ2kxzDNEXSs6zXGzJf,1038387096.774194,30.999999999999986,29.853991922957412,https://photon-sol.tinyastro.io/en/lp/iJhe28Qwm1eLUJh1CXM65YCNnp1ZZkuNtgYh5pYpump
2024-06-20T13:29:15.265Z,qCdKegxoTrEAjTahkqUXVxCE4goydPV5mpxhML1JjMgE9m7pKHvAVz78hqSywo6XhnJgtYLBuczpVePaAD7MeTh,82spSLk1SzitPc14JBjLRbtgc6jzvRYQUouegZgxpump,J1uPWxVnowYRP1eSaRiCd5r498fW9ktcB2rmJMpV9YUC,create,1785357.737104,4ikKyFsmhJsr8x7zpbUCyngBSAJJQfLStdCNDkmpXsc3,1071214642.262896,30.04999999999998,28.052267785026366,https://photon-sol.tinyastro.io/en/lp/82spSLk1SzitPc14JBjLRbtgc6jzvRYQUouegZgxpump
